	bookNo	author	year	book
1213	7159	Mark Twain (Samuel Clemens)	1881	The Prince and the Pauper
1214	7160	Mark Twain (Samuel Clemens)	1881	The Prince and the Pauper
1215	7161	Mark Twain (Samuel Clemens)	1881	The Prince and the Pauper
1216	7162	Mark Twain (Samuel Clemens)	1881	The Prince and the Pauper
1217	7164	Rabindranath Tagore	1910	Gitanjali
1218	7178	Marcel Proust	1913	Swann's Way
1219	7193	Mark Twain (Samuel Clemens)	1876	The Adventures of Tom Sawyer
1220	7194	Mark Twain (Samuel Clemens)	1876	The Adventures of Tom Sawyer
1221	7195	Mark Twain (Samuel Clemens)	1876	The Adventures of Tom Sawyer
1222	7196	Mark Twain (Samuel Clemens)	1876	The Adventures of Tom Sawyer
1223	7197	Mark Twain (Samuel Clemens)	1876	The Adventures of Tom Sawyer
1224	7198	Mark Twain (Samuel Clemens)	1876	The Adventures of Tom Sawyer
1225	7199	Mark Twain (Samuel Clemens)	1876	The Adventures of Tom Sawyer
1226	7200	Mark Twain (Samuel Clemens)	1876	The Adventures of Tom Sawyer
1227	7214	Knut Hamsun	1894	Pan
1228	7230	P. G. Wodehouse	1907	Not George Washington
1229	7242	Mark Twain (Samuel Clemens)	1889	A Connecticut Yankee in King Arthur's Court
1230	7243	Mark Twain (Samuel Clemens)	1889	A Connecticut Yankee in King Arthur's Court
1231	7244	Mark Twain (Samuel Clemens)	1889	A Connecticut Yankee in King Arthur's Court
1232	7245	Mark Twain (Samuel Clemens)	1889	A Connecticut Yankee in King Arthur's Court
1233	7246	Mark Twain (Samuel Clemens)	1889	A Connecticut Yankee in King Arthur's Court
1234	7247	Mark Twain (Samuel Clemens)	1889	A Connecticut Yankee in King Arthur's Court
1235	7248	Mark Twain (Samuel Clemens)	1889	A Connecticut Yankee in King Arthur's Court
1236	7249	Mark Twain (Samuel Clemens)	1889	A Connecticut Yankee in King Arthur's Court
1237	7250	Mark Twain (Samuel Clemens)	1889	A Connecticut Yankee in King Arthur's Court
1238	7265	William Makepeace Thackeray	2002	The Story of Lucy Gault
1239	7284	Charlotte Mary Yonge	1848	The Communist Manifesto
1240	7303	Edward Bellamy	1897	Equality
1241	7307	Ivan Goncharov	2001	The Precipice
1242	7307	Ivan Goncharov	1869	The Precipice
1243	7308	H. G. Wells	1910	The History of Mr Polly
1244	7348	Ben Macomber	2007	The Water Thief
1245	7352	H. Belloc	1908	First and Last Things
1246	7355	William H. Wharton	1959	The Mansion
1247	7359	William D. Howells	1886	Indian Summer
1248	7371	Ann Radcliffe	1790	A Sicilian Romance
1249	7372	Nathaniel Hawthorne	1872	Septimius Felton
1250	7381	Anthony Trollope	1872	The Eustace Diamonds
1251	7385	Norman Douglas	1915	Old Calabria
1252	7414	Sherwood Anderson	1920	Poor White
1253	7423	P. G. Wodehouse	1909	Mike
1254	7433	Henry James	1899	The Awkward Age
1255	7435	R. D. Blackmore	1887	Springhaven
1256	7443	Sherwood Anderson	1916	Windy McPherson's Son
1257	7452	Paramhansa Yogananda	1946	Autobiography of a Yogi
1258	7467	William Makepeace Thackeray	1855	The Newcomes
1259	7469	George Eliot	1876	Daniel Deronda
1260	7477	Edward J. M. D. Plunkett, Lord Dunsany	1912	The Book of Wonder
1261	7481	Anthony Trollope	1857	The Three Clerks
1262	7522	Upton Sinclair	1917	King Coal
1263	7529	Henry James	1888	The Reverberator
1264	7586	Edward Bulwer-Lytton	1849	The Caxtons
1265	7587	Edward Bulwer-Lytton	1849	The Caxtons
1266	7588	Edward Bulwer-Lytton	1849	The Caxtons
1267	7589	Edward Bulwer-Lytton	1849	The Caxtons
1268	7590	Edward Bulwer-Lytton	1849	The Caxtons
1269	7591	Edward Bulwer-Lytton	1849	The Caxtons
1270	7592	Edward Bulwer-Lytton	1849	The Caxtons
1271	7593	Edward Bulwer-Lytton	1849	The Caxtons
1272	7594	Edward Bulwer-Lytton	1849	The Caxtons
1273	7595	Edward Bulwer-Lytton	1849	The Caxtons
1274	7596	Edward Bulwer-Lytton	1849	The Caxtons
1275	7597	Edward Bulwer-Lytton	1849	The Caxtons
1276	7598	Edward Bulwer-Lytton	1849	The Caxtons
1277	7599	Edward Bulwer-Lytton	1849	The Caxtons
1278	7601	Edward Bulwer-Lytton	1849	The Caxtons
1279	7602	Edward Bulwer-Lytton	1849	The Caxtons
1280	7603	Edward Bulwer-Lytton	1849	The Caxtons
1281	7604	Edward Bulwer-Lytton	1849	The Caxtons
1282	7605	Edward Bulwer-Lytton	1849	The Caxtons
1283	7728	Edward Bulwer-Lytton	1830	Paul Clifford
1284	7729	Edward Bulwer-Lytton	1830	Paul Clifford
1285	7730	Edward Bulwer-Lytton	1830	Paul Clifford
1286	7731	Edward Bulwer-Lytton	1830	Paul Clifford
1287	7732	Edward Bulwer-Lytton	1830	Paul Clifford
1288	7733	Edward Bulwer-Lytton	1830	Paul Clifford
1289	7734	Edward Bulwer-Lytton	1830	Paul Clifford
1290	7735	Edward Bulwer-Lytton	1830	Paul Clifford
1291	7774	Upton Sinclair	1903	The Journal of Arthur Stirling
1292	7791	Martin Anderson Nexo	1900	Pelle the Conqueror
1293	7792	Martin Anderson Nexo	1900	Pelle the Conqueror
1294	7793	Martin Anderson Nexo	1900	Pelle the Conqueror
1295	7794	Martin Anderson Nexo	1900	Pelle the Conqueror
1296	7795	Martin Anderson Nexo	1900	Pelle the Conqueror
1297	7797	William Dean Howells	1879	The Lady of The Aroostook
1298	7813	Henry James	1874	Madame de Mauves
1299	7835	Benjamin Disraeli	1870	Lothair
1300	7853	Sir Walter Scott	1823	Quentin Durward
1301	7891	Wilkie Collins	2005	The Dead Alive
1302	7926	Benjamin Disraeli	1667	Paradise Lost
1303	7957	C. K. Ober	1938	Out of the Silent Planet
1304	7964	Arthur Conan Doyle	1889	The Mystery of Cloomber
1305	7967	Romain Rolland	1904	Jean-Christophe
1306	7979	Romain Rolland	1904	Jean-Christophe
1307	7987	Sir Walter Scott	1828	The Fair Maid of Perth
1308	8080	Henry James	1871	A Passionate Pilgrim
1309	8086	Cory Doctorow	2003	Down and Out in the Magic Kingdom
1310	8101	Henry Blake Fuller	1919	Bertram Cope's Year
1311	8123	William Makepeace Thackeray	1857	The Virginians
1312	8135	Sir Hugh Walpole	1898	The Cathedral
1313	8135	Sir Hugh Walpole	1968	The Cathedral
1314	8147	Rudyard Kipling	1888	The Man Who Would Be King
1315	8164	P. G. Wodehouse	1919	My Man Jeeves
1316	8166	Francois Rabelais	1534	Gargantua and Pantagruel
1317	8167	Francois Rabelais	1534	Gargantua and Pantagruel
1318	8168	Francois Rabelais	1534	Gargantua and Pantagruel
1319	8169	Francois Rabelais	1534	Gargantua and Pantagruel
1320	8170	Francois Rabelais	1534	Gargantua and Pantagruel
1321	8184	H. Rider Haggard	1908	The Ghost Kings
1322	8199	Garrett P. Serviss	1978	The Moon Maiden
1323	8201	George MacDonald	1881	Mary Marston
1324	8203	William Dean Howells	1882	A Modern Instance
1325	8223	Charles Brockden Brown	1799	Edgar Huntly
1326	8295	William Dean Howells	1907	Through the Eye of the Needle
1327	8382	Catherine Parr Traill	1852	Canadian Crusoes
1328	8387	Knut Hamsun	2010	Hunger
1329	8387	Knut Hamsun	2017	Hunger
1330	8387	Knut Hamsun	1890	Hunger
1331	8394	Arthur Conan Doyle	1892	The Doings of Raffles Haw
1332	8406	Julian Hawthorne	1980	Metroland
1333	8409	Aphra Behn	1684	Love-Letters Between a Nobleman and His Sister
1334	8430	William J. Locke	2002	The Story of Lucy Gault
1335	8441	Robert W. Chambers	1951	Between Planets
1336	8449	William Dean Howells	1894	A Traveler from Altruria
1337	8455	Antonio Fogazzaro	1997	The Saint
1338	8455	Antonio Fogazzaro	1905	The Saint
1339	8471	Mark Twain (Samuel Clemens)	1883	Life on the Mississippi
1340	8472	Mark Twain (Samuel Clemens)	1883	Life on the Mississippi
1341	8473	Mark Twain (Samuel Clemens)	1883	Life on the Mississippi
1342	8474	Mark Twain (Samuel Clemens)	1883	Life on the Mississippi
1343	8475	Mark Twain (Samuel Clemens)	1883	Life on the Mississippi
1344	8476	Mark Twain (Samuel Clemens)	1883	Life on the Mississippi
1345	8477	Mark Twain (Samuel Clemens)	1883	Life on the Mississippi
1346	8478	Mark Twain (Samuel Clemens)	1883	Life on the Mississippi
1347	8479	Mark Twain (Samuel Clemens)	1883	Life on the Mississippi
1348	8480	Mark Twain (Samuel Clemens)	1883	Life on the Mississippi
1349	8481	Mark Twain (Samuel Clemens)	1883	Life on the Mississippi
1350	8482	Mark Twain (Samuel Clemens)	1883	Life on the Mississippi
1351	8525	Mark Twain (Samuel Clemens)	1906	Eve's Diary
1352	8526	Mark Twain (Samuel Clemens)	1906	Eve's Diary
1353	8527	Mark Twain (Samuel Clemens)	1906	Eve's Diary
1354	8528	Mark Twain (Samuel Clemens)	1906	Eve's Diary
1355	8529	Robert Herrick	1971	The World Inside
1356	8549	Robert Hichens	1879	Travels with a Donkey in the Cévennes
1357	8558	Emile Zola	1876	L'Assommoir
1358	8574	Frances H. Burnett	1906	Racketty-Packetty House
1359	8582	Mark Twain (Samuel Clemens)	1872	Roughing It
1360	8583	Mark Twain (Samuel Clemens)	1872	Roughing It
1361	8584	Mark Twain (Samuel Clemens)	1872	Roughing It
1362	8585	Mark Twain (Samuel Clemens)	1872	Roughing It
1363	8586	Mark Twain (Samuel Clemens)	1872	Roughing It
1364	8587	Mark Twain (Samuel Clemens)	1872	Roughing It
1365	8588	Mark Twain (Samuel Clemens)	1872	Roughing It
1366	8589	Mark Twain (Samuel Clemens)	1872	Roughing It
1367	8600	Emile Zola	1876	L'Assommoir
1368	8642	Margaret Fuller Ossoli	1843	Woman in the Nineteenth Century
1369	8644	Stanley Waterloo	1897	The Story of Ab
1370	8646	Adam Ferguson, L.L.D.	1767	An Essay on the History of Civil Society
1371	8647	James Fenimore Cooper	1844	Afloat and Ashore
1372	8665	Charles Romyn Dake	1899	A Strange Discovery
1373	8667	H. Rider Haggard	1882	Cetywayo and His White Neighbours
1374	8736	Joseph Conrad	1987	Gaspar Ruiz
1375	8774	William Wordsworth	1807	Poems, in Two Volumes
1376	8778	William Morris	1897	The Water of the Wondrous Isles
1377	8801	Walt Whitman	1865	Drum-Taps
1378	8824	William Wordsworth	1807	Poems, in Two Volumes
1379	8866	Neltje Blanchan	1917	Wild Flowers Worth Knowing
1380	8867	Booth Tarkington	1918	The Magnificent Ambersons
1381	8899	Elinor Glyn	1907	Three Weeks
1382	8920	Edwin Arnold	1879	The Light of Asia
1383	8953	William F. Kirk	2002	The Story of Lucy Gault
1384	8954	Mary Elizabeth Braddon	1862	Lady Audley's Secret
1385	9070	Molière	1660	The Imaginary Cuckold
1386	9097	Henry M. Robert	2011	Robert's Rules of Order
1387	9104	Theodore Roosevelt	1882	The Naval War of 1812
1388	9169	Emile Zola	1897	Paris
1389	9169	Emile Zola	2013	Paris
1390	9182	Charlotte Brontë	1853	Villette
1391	9198	Isaak Walton	1653	The Compleat Angler
1392	9236	Nathaniel Hawthorne	1920	Main Street
1393	9244	Nathaniel Hawthorne	1878	Little Daffydowndilly, and other stories
1394	9244	Nathaniel Hawthorne	1883	Little Daffydowndilly, and other stories
1395	9244	Nathaniel Hawthorne	1887	Little Daffydowndilly, and other stories
1396	9244	Nathaniel Hawthorne	1879	Little Daffydowndilly, and other stories
1397	9254	Nathaniel Hawthorne	1883	Biographical stories
1398	9254	Nathaniel Hawthorne	1878	Biographical stories
1399	9254	Nathaniel Hawthorne	1850	Biographical stories
1400	9298	May Sinclair	1922	Life and Death of Harriett Frean
1401	9301	George MacDonald	1871	Ranald Bannerman's Boyhood
1402	9310	Arthur Schnitzler	1918	Casanova's Homecoming
1403	9404	Sir Winston S. Churchill	1898	The Story of the Malakand Field Force
1404	9473	Henryk Sienkiewicz	1900	The Knights of the Cross
1405	9473	Henryk Sienkiewicz	1953	The Knights of the Cross
1406	9483	Dora Sigerson	1906	The Story and Song of Black Roderick
1407	9489	Gene Stratton-Porter	1915	Michael O'Halloran
1408	9498	D. H. Lawrence	1912	The Trespasser
1409	9504	Arthur Conan Doyle	1889	Micah Clarke
1410	9606	Eugene Field	1889	A Little Book of Western Verse
1411	9609	Henry Fielding	1742	Joseph Andrews
1412	9611	Henry Fielding	1742	Joseph Andrews
1413	9615	Ivan Sergeevich Turgenev	1850	The Diary of a Superfluous Man
1414	9622	William Wordsworth	1798	Lyrical Ballads
1415	9660	John Knox	1600	The first blast of the trumpet against the monstruous regiment of women
1416	9662	David Hume	1748	An Enquiry Concerning Human Understanding
1417	9780	H. Rider Haggard	1907	Fair Margaret
1418	9795	William le Queux	2002	The Story of Lucy Gault
1419	9805	William H. Ryus	2002	The Story of Lucy Gault
1420	9808	Edgar Jepson	1920	The Loudwater Mystery
1421	9829	James Branch Cabell	2006	The Jesus Dynasty
1422	9830	F. Scott Fitzgerald	1922	The Beautiful and Damned
1423	9879	Jeffery Farnol	1913	The Amateur Gentleman
1424	9880	Elizabeth Cady Stanton	1895	The Woman's Bible
1425	9904	William Makepeace Thackeray	2002	The Story of Lucy Gault
1426	9908	Louis Joseph Vance	1918	The False Faces
1427	9947	Anonymous	1921	Queen Victoria
1428	9983	J. Sheridan Le Fanu	1864	Wylder's Hand
1429	9990	Horatio Alger	1870	Brave and Bold
1430	10002	William Hope Hodgson	1908	The House on the Borderland
1431	10007	J. Sheridan LeFanu	1872	Carmilla
1432	10095	Richard Garnett	1888	The Twilight of the Gods and Other Tales
1433	10148	Howard Pyle	1883	The Merry Adventures of Robin Hood
1434	10165	Percy Greg	1880	Across the Zodiac
1435	10217	Mary Hunter Austin	1903	The Land of Little Rain
1436	10291	H.G. Wells	1918	In the Fourth Year
1437	10323	Edward Stratemeyer	1899	The Rover Boys at School
1438	10324	Max Brand	2006	World War Z
1439	10337	David Garnett	1922	Lady into Fox
1440	10339	Jules Verne	1897	An Antarctic Mystery
1441	10345	Fanny Trollope	1832	Domestic Manners of the Americans
1442	10363	J. Fenimore Cooper	1831	The Bravo
1443	10365	James Fenimore Cooper	1820	Precaution
1444	10429	Zona Gale	1921	Miss Lulu Bett
1445	10473	William Patterson White	2002	The Story of Lucy Gault
1446	10482	William A. Alcott	2002	The Story of Lucy Gault
1447	10540	Kate Douglas Wiggin	1910	Mother Carey's Chickens
1448	10542	William Hope Hodgson	1907	"The Boats of the ""Glen Carrig"""
1449	10554	P. G. Wodehouse	1934	Right Ho, Jeeves
1450	10615	John Locke	1690	An Essay Concerning Human Understanding
1451	10616	John Locke	1690	An Essay Concerning Human Understanding
1452	10636	Marco Polo and Rustichello of Pisa	1300	The Travels of Marco Polo
1453	10662	William Hope Hodgson	1912	The Night Land
1454	10712	Herman Melville	1850	White-Jacket
1455	10718	William Le Queux	2002	The Story of Lucy Gault
1456	10736	Jack London	1902	Children of the Frost
1457	10743	J. Meade Falkner	1898	Moonfleet
1458	10830	Henry W. Hewet	2012	Canada
1459	10926	Helen Hunt Jackson	1878	Saxe Holm's Stories
1460	10935	Selma Lagerloef	1906	The Wonderful Adventures of Nils
1461	10935	Selma Lagerloef	1907	The Wonderful Adventures of Nils
1462	10943	Jacques Futrelle	1909	Elusive Isabel
1463	10966	William Hope Hodgson	1909	The Ghost Pirates
1464	10977	James Oliver Curwood	1916	The Grizzly King
1465	10984	Knut Hamsun	1917	Growth of the Soil
1466	10988	Frederick Ferdinand Moore	1979	The Devil's Alternative
1467	11012	James Weldon Johnson	1912	The Autobiography of an Ex-Colored Man
1468	11030	Harriet Jacobs (AKA Linda Brent)	1861	Incidents in the Life of a Slave Girl
1469	11051	Jack London	1902	The Cruise of the Dazzler
1470	11052	Edith Wharton	1913	The Custom of the Country
1471	11060	Anatole France	1882	The Aspirations of Jean Servien
1472	11068	William Hazlitt	2002	The Story of Lucy Gault
1473	11127	Mary Roberts Rinehart	1913	The Case of Jennie Brice
1474	11128	R. Austin Freeman	1907	The Red Thumb Mark
1475	11162	Helen Bannerman	1899	The Story of Little Black Sambo
1476	11167	Charles Augustus Kincaid	1914	Deccan Nursery Tales
1477	11224	John Stuart Mill	1861	Utilitarianism
1478	11228	Charles W. Chesnutt	1901	The Marrow of Tradition
1479	11229	M.P. Shiel	1901	The Purple Cloud
1480	11231	Herman Melville	1853	Bartleby, the Scrivener
1481	11413	Arthur Conan Doyle	1893	The Refugees
1482	11502	H. G. Wells	1914	An Englishman Looks at the World
1483	11505	G. K. Chesterton	1908	All Things Considered
1484	11556	Jules Verne	1896	Facing the Flag
1485	11620	Miles Franklin	1901	My Brilliant Career
1486	11639	James Branch Cabell	1921	Figures of Earth
1487	11640	H. G. Wells	1899	Love and Mr Lewisham
1488	11686	Henryk Sienkiewicz	1891	Without Dogma
1489	11689	Alice Duer Miller	1915	Are Women People?
1490	11696	H.G. Wells	1904	The Food of the Gods and How It Came to Earth
1491	11757	Margery Williams	1922	The Velveteen Rabbit
1492	11866	Daniel Defoe	1719	The life and Strange Surprizing Adventures of Robinson Crosoe
1493	11870	H. G. Wells	1904	The Country of the Blind
1494	11892	Alfred Pink	1904	Gardening for the Million
1495	11913	H. Rider Haggard	1888	Mr Meeson's Will
1496	11961	Joseph A. Altsheler	1939	The Legend of the Holy Drinker
1497	12045	Clara Erskine Clement	1904	Women in the fine arts, from the seventh century B.C. to the twentieth century A.D.
1498	12103	Beatrix Potter	1905	The Tale of Mrs. Tiggy-Winkle
1499	12115	J Lort Stokes	1846	Discoveries in Australia
1500	12146	John Lort Stokes	1846	Discoveries in Australia
1501	12163	H.G. Wells	1899	The Sleeper Awakes
1502	12175	Baroness Orczy	2005	The Venus of Salò
1503	12177	Elia Wilkinson Peattie	1869	The Precipice
1504	12177	Elia Wilkinson Peattie	2001	The Precipice
1505	12187	R. Austin Freeman	1912	The Mystery of 31 New Inn
1506	12245	G.K. Chesterton	1901	The Defendant
1507	12259	Daniel Defoe	1720	Memoirs of a Cavalier
1508	12346	F. Marion Crawford	1884	A Roman Singer
1509	12375	Walter Kellogg Towers	1962	Masters of Space
1510	12410	Marco Polo and Rustichello of Pisa	1300	The Travels of Marco Polo
1511	12411	William Pember Reeves	2002	The Story of Lucy Gault
1512	12431	Hannah Webster Foster	1797	The Coquette
1513	12555	Arthur Conan Doyle	1898	The Tragedy of the Korosko
1514	12587	Victor Hugo	1869	The Man Who Laughs
1515	12623	Daniel Defoe	2010	The Rembrandt Affair
1516	12670	G. Lytton Strachey	1912	Landmarks in French Literature
1517	12678	William Henry Irwin	2002	The Story of Lucy Gault
1518	12803	Thomas Love Peacock	1834	Tylney Hall
1519	12861	James Hutton	1788	Theory of the Earth
1520	12891	A. E. W. Mason	1906	Running Water
1521	12954	Captain Frederick Marryat	1837	The Phantom Ship
1522	12958	Samuel Richardson	1741	Pamela II
1523	12959	Frederick Marryat	1832	Newton Forster
1524	13072	Yoritomo-Tashi	1993	Common Sense
1525	13072	Yoritomo-Tashi	1776	Common Sense
1526	13102	Giovanni Boccaccio	1352	The Decameron
1527	13102	Giovanni Boccaccio	1351	The Decameron
1528	13144	Eileen Edna Power	1924	Medieval People
1529	13152	Arthur Conan Doyle	1890	The Firm of Girdlestone
1530	13240	John W. Cousin	1910	A Short Biographical Dictionary of English Literature
1531	13321	Charles Warren Stoddard	1859	On the Origin of Species
1532	13413	Anton Chekhov	1887	The Bet and Other Stories/Enemies
1533	13468	G. K. Chesterton	1920	The New Jerusalem
1534	13486	William Morris	1876	The Story of Sigurd the Volsung and the Fall of the Niblungs
1535	13514	Washington Irving	1824	Tales of a Traveller
1536	13610	Havelock Ellis	1900	Studies in the Psychology of Sex Vol. 1
1537	13611	Havelock Ellis	1900	Studies in the Psychology of Sex Vol. 1
1538	13612	Havelock Ellis	1900	Studies in the Psychology of Sex Vol. 1
1539	13613	Havelock Ellis	1900	Studies in the Psychology of Sex Vol. 1
1540	13614	Havelock Ellis	1900	Studies in the Psychology of Sex Vol. 1
1541	13615	Havelock Ellis	1900	Studies in the Psychology of Sex Vol. 1
1542	13626	Alexandre Dumas	1847	The Forty-five Guardsmen
1543	13673	Captain Frederick Marryat	1835	The Pacha of Many Tales
1544	13723	Arnold Bennett	1806	Leonora
1545	13969	Arthur Machen	1907	The Hill of Dreams
1546	13970	Robert M. Bird	1837	Nick of the Woods
1547	13985	Henry Sydnor Harrison	1913	V.V.'s Eyes
1548	14001	Emerson Hough	1902	The Mississippi Bubble
1549	14018	Laura E. Richards	1912	Marie
1550	14021	Robert Hugh Benson	1908	Lord of the World
1551	14044	Arthur Machen	1951	The Sands of Mars
1552	14060	H. G. Wells	1916	Mr. Britling Sees It Through
1553	14079	Alice Hegan Rice	1905	Sandy
1554	14107	John Meade Falkner	1895	The Lost Stradivarius
1555	14179	James Hutton	1788	Theory of the Earth
1556	14220	Beatrix Potter	1909	The Tale of The Flopsy Bunnies
1557	14228	Washington Irving	1822	Bracebridge Hall
1558	14257	Somerset Maugham	1971	The Magician
1559	14257	Somerset Maugham	1908	The Magician
1560	14273	Selma Lagerlof	1894	Invisible links
1561	14293	Robert Carlton Brown	1978	The Complete Guide to Middle-earth
1562	14301	Pierre Benoit	1919	Atlantida
1563	14304	Beatrix Potter	1902	The Tale of Peter Rabbit
1564	14328	Boethius	524	The Consolation of Philosophy
1565	14355	Emerson Hough	1909	54-40 or Fight
1566	14356	Selma Lagerlof	1914	The Emperor of Portugallia
1567	14363	Apsley Cherry-Garrard	1922	The Worst Journey in the World
1568	14474	Michael Faraday	1861	The Chemical History of a Candle
1569	14486	B. M. Bower	2005	The Tender Bar
1570	14519	Alfred Sutro	1963	Family Favourites
1571	14540	Saki	1913	When William Came
1572	14581	Vaughan Kester	1960	The Lotus and the Robot
1573	14645	Robert Grant	1900	Unleavened Bread
1574	14654	Jack London	1902	A Daughter of the Snows
1575	14671	Charles Major	1902	Dorothy Vernon of Haddon Hall
1576	14682	Henry Harland	1932	My Friend Flicka
1577	14712	Frank Norris	1914	Vandover and the Brute
1578	14838	Beatrix Potter	1902	The Tale of Peter Rabbit
1579	14851	J. S. LeFanu	1922	Seven Pillars of Wisdom
1580	14860	Walter Scott	1890	The Journal of Sir Walter Scott
1581	14868	Beatrix Potter	1903	The Tailor of Gloucester
1582	14872	Beatrix Potter	1903	The Tale of Squirrel Nutkin
1583	14877	Beatrix Potter	1909	The Tale of Ginger and Pickles
1584	14883	Martha Finley	2012	The Party Journalist
1585	14888	Joseph Conrad	2009	The Gathering Storm
1586	15067	Joris-Karl Huysmans	1968	The Cathedral
1587	15067	Joris-Karl Huysmans	1898	The Cathedral
1588	15077	Beatrix Potter	1906	The Tale of Mr. Jeremy Fisher
1589	15095	Douglass Sherley	1982	Life, the Universe and Everything
1590	15099	Edward Eggleston	1871	The Hoosier Schoolmaster
1591	15137	Beatrix Potter	1905	The Tale of Mrs. Tiggy-Winkle
1592	15179	Douglass Sherley et al.	1982	Life, the Universe and Everything
1593	15233	William Beatty	2002	The Story of Lucy Gault
1594	15263	William Still	2002	The Story of Lucy Gault
1595	15284	Beatrix Potter	1918	The Tale of Johnny Town-Mouse
1596	15335	Pierre Loti	1888	Madame Chrysanthème
1597	15399	Olaudah Equiano	1789	The Interesting Narrative of the Life of Olaudah Equiano
1598	15408	Gertrude Stein	1909	Three Lives
1599	15422	Herman Melville	1855	Israel Potter
1600	15482	Ruth Sawyer	1915	The Primrose Ring
1601	15487	Jane Addams	1902	Democracy and Social Ethics
1602	15491	Robert Hooke	1665	Micrographia
1603	15502	Jackson Gregory	1902	The Cruise of the Dazzler
1604	15542	William MacLeod Raine	2002	The Story of Lucy Gault
1605	15569	Mrs. Molesworth	1877	The Cuckoo Clock
1606	15575	Beatrix Potter	1908	The Tale of Samuel Whiskers or The Roly-Poly Pudding
1607	15578	Frank L. Packard	1989	The Trial
1608	15578	Frank L. Packard	1987	The Trial
1609	15578	Frank L. Packard	1925	The Trial
1610	15588	Jonas Lie	1874	The Pilot and His Wife
1611	15663	George Rawlinson	1949	Nineteen Eighty-Four
1612	15723	Edward Stratemeyer	1909	The Rover Boys on Treasure Isle
1613	15725	Benito Pérez Galdós	1876	Doña Perfecta
1614	15738	May Edginton	1667	Paradise Lost
1615	15776	John Maynard Keynes	1920	The Economic Consequences of the Peace
1616	15776	John Maynard Keynes	1919	The Economic Consequences of the Peace
1617	15784	Isaac Newton	1728	The Chronology of Ancient Kingdoms
1618	15795	Edward Stratemeyer	1904	The Rover Boys in Camp
1619	15808	Robert Hugh Benson	1906	The History of Richard Raynal, Solitary
1620	15830	William Wells Brown	1959	The Mansion
1621	15837	Selma Lagerlöf	1901	Jerusalem
1622	15837	Selma Lagerlöf	1902	Jerusalem
1623	15859	Herman Melville	1856	The Piazza Tales
1624	15948	William Morris	1950	The Town
1625	15948	William Morris	1957	The Town
1626	15976	Rudyard Kipling	1906	Puck of Pook's Hill
1627	15991	Frederick Marryat	1834	Japhet, in Search of a Father
1628	15992	Robert Hugh Benson	1912	Come Rack! Come Rope!
1629	16000	Arthur Thomas Quiller-Couch	1951	The Sands of Mars
1630	16007	William Carleton	2002	The Story of Lucy Gault
1631	16017	William Carleton	2002	The Story of Lucy Gault
1632	16058	Annie Besant and Charles W. Leadbeater	1908	Occult Chemistry
1633	16078	Patrick MacGill	1992	The Butcher Boy
1634	16096	Frank Norris	1900	A Man's Woman
1635	16161	George Rawlinson	1875	The Seven Great Monarchies Of The Ancient Eastern World
1636	16162	George Rawlinson	1875	The Seven Great Monarchies Of The Ancient Eastern World
1637	16163	George Rawlinson	1875	The Seven Great Monarchies Of The Ancient Eastern World
1638	16164	George Rawlinson	1875	The Seven Great Monarchies Of The Ancient Eastern World
1639	16165	George Rawlinson	1875	The Seven Great Monarchies Of The Ancient Eastern World
1640	16166	George Rawlinson	1875	The Seven Great Monarchies Of The Ancient Eastern World
1641	16167	George Rawlinson	1875	The Seven Great Monarchies Of The Ancient Eastern World
1642	16199	William Godwin	1798	Memoirs of the Author of A Vindication of the Rights of Woman
1643	16261	Lafcadio Hearn	1887	Some Chinese Ghosts
1644	16310	Richard Harding Davis	2012	Canada
1645	16321	John Hay	1883	The Breadwinners
1646	16375	Robert Hugh Benson	1879	Travels with a Donkey in the Cévennes
1647	16389	Elizabeth von Arnim	1923	The Enchanted April
1648	16470	Upton Sinclair	1917	The Profits of Religion
1649	16517	W. Somerset Maugham	1897	Liza of Lambeth
1650	16523	Bahá’u’lláh	1872	Kitáb-i-Aqdas
1651	16560	Francis C. Woodworth	1798	The Midnight Bell
1652	16677	Marie Belloc Lowndes	1912	The Chink in the Armour
1653	16692	Elinor Glyn	1906	Beyond the Rocks
1654	16697	Bahá’u’lláh	1891	Epistle to the Son of the Wolf
1655	16741	Mary H. Eastman	1852	Aunt Phillis's Cabin
1656	16768	William Marsden	2002	The Story of Lucy Gault
1657	16769	G. K. Chesterton	1908	Orthodoxy
1658	16939	Bahá’u’lláh	1850	Gems of Divine Mysteries
1659	16941	Bahá’u’lláh	1857	The Hidden Words
1660	16965	E. Gordon Browne	1921	Queen Victoria
1661	17011	Peter Rosegger	1905	I.N.R.I.
1662	17028	Cory Doctorow	2004	Eastern Standard Tribe
1663	17043	William MacLeod Raine	2002	The Story of Lucy Gault
1664	17047	John Buchan	1900	The Half-Hearted
1665	17075	Thomas More	1553	Dialogue of Comfort against Tribulation
1666	17089	Beatrix Potter	1910	The Tale of Mrs. Tittlemouse
1667	17125	Richmal Crompton	1922	More William
1668	17144	George Sylvester Viereck	1907	The House of the Vampire
1669	17155	Frederick Boyle	2012	The Party Journalist
1670	17157	Jonathan Swift	1726	Gulliver's Travels
1671	17176	Arnold Bennett	2002	The Story of Lucy Gault
1672	17195	Elbert Hubbard	1916	A Message to Garcia
1673	17213	Wilfred Scawen Blunt	1882	The Future of Islam
1674	17306	Frederick Engels	1845	The Condition of the Working Class in England
