	bookNo	author	year	book
856	4090	Jessie L. Weston	1920	From Ritual to Romance
857	4204	William Harmon Norton	2002	The Story of Lucy Gault
858	4208	Jonathan Swift	1766	A Journal to Stella
859	4217	James Joyce	1916	A Portrait of the Artist as a Young Man
860	4219	Philip E. Muskett (?-1909)	1893	The Art of Living in Australia
861	4223	Fergus Hume	1886	The Mystery of a Hansom Cab
862	4225	H. G. Wells	1908	First and Last Things
863	4227	Victor Appleton	1911	Tom Swift and His Wireless Message
864	4230	Victor Appleton	1910	Tom Swift and His Motor Cycle
865	4239	Thomas Malthus	1826	An Essay on the Principle of Population
866	4240	D. H. Lawrence	1920	Women in Love
867	4262	Henry James	1904	The Golden Bowl
868	4263	Henry James	1904	The Golden Bowl
869	4264	Henry James	1904	The Golden Bowl
870	4268	Elizabeth Cleghorn Gaskell	1864	Cousin Phillis
871	4274	Elizabeth Cleghorn Gaskell	1864	Wives and Daughters
872	4276	Elizabeth Cleghorn Gaskell	1982	North and South
873	4276	Elizabeth Cleghorn Gaskell	1855	North and South
874	4277	Richard Henry Dana	1840	Two Years Before the Mast
875	4287	William J. Locke	1940	The Hamlet
876	4297	George Gissing	1895	Eve's Ransom
877	4298	George Gissing	1895	The Paying Guest
878	4299	George Gissing	1986	The Whirlpool
879	4299	George Gissing	1897	The Whirlpool
880	4300	James Joyce	1922	Ulysses
881	4300	James Joyce	1833	Ulysses
882	4301	George Gissing	1889	The Nether World
883	4303	George Gissing	1892	Denzil Quarrier
884	4305	George Gissing	1884	The Unclassed
885	4306	George Gissing	1904	Veranilda
886	4307	George Gissing	1894	In the Year of Jubilee
887	4309	George Gissing	1886	Demos
888	4310	George Gissing	1905	Will Warburton
889	4312	George Gissing	1888	A Life's Morning
890	4313	George Gissing	1893	The Odd Women
891	4327	Edith Wharton	1902	The Valley of Decision
892	4327	Edith Wharton	1942	The Valley of Decision
893	4328	Charles Sturt	1833	Two Expeditions into the Interior of Southern Australia, 1828-31
894	4330	Charles Sturt	1833	Two Expeditions into the Interior of Southern Australia, 1828-31
895	4335	Thomas Malthus	1815	The Grounds of an Opinion on the Policy of Restricting the Importation of Foreign Corn
896	4340	Grant Allen	1895	The British Barbarians
897	4344	Alexander Pushkin	1912	Marie
898	4351	Walter Bagehot	1867	The English Constitution
899	4356	L. Frank Baum	1912	Sky Island
900	4357	L. Frank Baum	1901	American Fairy Tales
901	4358	L. Frank Baum	1911	The Sea Fairies
902	4359	Walter Bagehot	1873	Lombard Street: A Description of the Money Market
903	4363	Friedrich Nietzsche	1886	Beyond Good and Evil
904	4367	Ulysses S. Grant	1885	Personal Memoirs of Ulysses S. Grant
905	4379	William J. Locke	2002	The Story of Lucy Gault
906	4380	Henri Barbusse	2015	Under Fire
907	4380	Henri Barbusse	1916	Under Fire
908	4382	Frank Norris	1903	The Pit
909	4383	Louis Hemon	1913	Maria Chapdelaine
910	4394	Marie Corelli	1886	A Romance of Two Worlds
911	4397	John Galsworthy	1906	The Forsyte Saga
912	4401	George Meredith	1856	The Shaving of Shagpat
913	4402	George Meredith	1856	The Shaving of Shagpat
914	4403	George Meredith	1856	The Shaving of Shagpat
915	4404	George Meredith	1856	The Shaving of Shagpat
916	4405	George Meredith	1856	The Shaving of Shagpat
917	4406	George Meredith	1859	The Ordeal of Richard Feverel
918	4407	George Meredith	1859	The Ordeal of Richard Feverel
919	4408	George Meredith	1859	The Ordeal of Richard Feverel
920	4409	George Meredith	1859	The Ordeal of Richard Feverel
921	4410	George Meredith	1859	The Ordeal of Richard Feverel
922	4411	George Meredith	1859	The Ordeal of Richard Feverel
923	4412	George Meredith	1859	The Ordeal of Richard Feverel
924	4444	George Meredith	1870	The Adventures of Harry Richmond
925	4445	George Meredith	1870	The Adventures of Harry Richmond
926	4446	George Meredith	1870	The Adventures of Harry Richmond
927	4447	George Meredith	1870	The Adventures of Harry Richmond
